year,national,dublin
2013,793,1088
2014,846,1197
2015,933,1298
2016,1014,1430
2017,1082,1519
2018,1153,1632
2019,1224,1712
2020,1256,1745
2021,1415,1972
2022,1507,2063
2023,1595,2098
2024,1644,2147
